lmd,baseline,corLDMmRT,corLDMmRT_CI_lower,corLDMmRT_CI_upper,corLDM_congruent,coef,p_value,BIC
subtitles_conditional_probability_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.228,-0.394,-0.066,0.175439614342768,-86290.89,0.068,1181.8
subtitles_conditional_probability_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.481,-0.585,-0.363,0.14222650535294,-125048.78,0,1170.6
subtitles_conditional_probability_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.459,-0.556,-0.346,0.194674947368687,-91890.15,0,1171
subtitles_conditional_probability_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.462,-0.579,-0.307,0.128327301354792,-105268.43,0.001,1172.6
subtitles_log_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.146,-0.322,0.017,0.0508184627950211,-83.72,0.004,1176.3
subtitles_log_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.21,-0.354,-0.056,0.0918664224220034,-81.6,0,1170.9
subtitles_log_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.243,-0.402,-0.043,0.0860229545867056,-66.87,0.001,1174
subtitles_log_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.212,-0.38,-0.045,0.0477837713846053,-70.16,0.001,1173.4
subtitles_pmi_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.211,0.057,0.373,-0.0401707021870439,18.03,0.072,1181.9
subtitles_pmi_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.187,-0.373,0.041,0.211116970226151,-21.17,0.093,1182.4
subtitles_pmi_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.159,-0.385,0.069,0.112433824463009,-15.54,0.164,1183.3
subtitles_pmi_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.137,-0.346,0.047,0.00376906608392668,-9.24,0.419,1184.7
subtitles_ppmi_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.13,-0.033,0.271,0.070482958088357,2.27,0.862,1185.4
subtitles_ppmi_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.177,-0.373,0.06,0.183453757109626,-45.95,0.071,1181.9
subtitles_ppmi_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.204,-0.39,-0.007,0.256434211174938,-32.99,0.047,1181.1
subtitles_ppmi_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.187,-0.374,0.025,0.170182329854378,-29.24,0.149,1183.2
subtitles_probability_ratio_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.091,-0.013,0.188,0.12388500984836,0.38,0.898,1185.4
subtitles_probability_ratio_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.231,-0.416,-0.036,0.235184059177604,-33.97,0.045,1181.1
subtitles_probability_ratio_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.18,-0.36,-0.006,0.254538584775215,-12.8,0.102,1182.5
subtitles_probability_ratio_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.19,-0.36,-0.009,0.178653725956867,-19.39,0.092,1182.3
cos_subtitles_cbow_100_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.158,-0.051,0.325,0.023843287834875,203.13,0.058,1181.5
cos_subtitles_cbow_100_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.367,0.17,0.526,-0.259357610975814,390,0,1168.9
cos_subtitles_cbow_100_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.328,0.163,0.487,-0.0826885133632779,261.37,0.004,1176.7
cos_subtitles_cbow_100_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.357,0.16,0.524,-0.147205111627701,297.08,0.001,1174.4
cos_subtitles_cbow_200_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.163,-0.022,0.317,0.0126860568911061,253.9,0.055,1181.4
cos_subtitles_cbow_200_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.294,0.109,0.497,-0.217105479009435,311,0.011,1178.4
cos_subtitles_cbow_200_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.323,0.144,0.501,-0.0807163248258594,327.99,0.005,1176.8
cos_subtitles_cbow_200_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.322,0.109,0.53,-0.153837587179355,340.54,0.003,1176
cos_subtitles_cbow_300_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.125,-0.069,0.314,0.0492488700597047,220.73,0.185,1183.5
cos_subtitles_cbow_300_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.272,0.062,0.446,-0.211157884093419,370.32,0.013,1178.8
cos_subtitles_cbow_300_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.339,0.153,0.512,-0.113860899883114,409.25,0.002,1175.5
cos_subtitles_cbow_300_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.313,0.091,0.483,-0.154845210348315,377.69,0.003,1176
cos_subtitles_cbow_50_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.27,0.069,0.425,-0.00808757900214103,242.26,0.011,1178.5
cos_subtitles_cbow_50_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.398,0.196,0.571,-0.180132625591756,247.15,0.001,1172.9
cos_subtitles_cbow_50_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.394,0.213,0.528,-0.0784406753599746,229.87,0.001,1173
cos_subtitles_cbow_50_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.435,0.26,0.592,-0.175666205165195,251.33,0,1171.8
cos_subtitles_cbow_500_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.101,-0.09,0.289,0.0234232376238452,260.65,0.175,1183.4
cos_subtitles_cbow_500_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.298,0.105,0.468,-0.183121053221174,369.17,0.013,1178.8
cos_subtitles_cbow_500_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.296,0.093,0.487,-0.060840673581245,409.32,0.008,1177.9
cos_subtitles_cbow_500_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.32,0.104,0.516,-0.127076281072886,412.02,0.004,1176.5
cos_subtitles_conditional_probability_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.389,-0.535,-0.248,0.00817265045393462,-121.9,0.095,1182.4
cos_subtitles_conditional_probability_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.038,-0.16,0.213,-0.0668459228255678,843.44,0.105,1182.6
cos_subtitles_conditional_probability_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.27,-0.426,-0.12,-0.0219354620187318,-99.31,0.459,1184.8
cos_subtitles_conditional_probability_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.125,-0.293,0.044,-0.0380868314711903,113.21,0.647,1185.2
cos_subtitles_log_cooccurrence_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.155,0.017,0.284,0.170603269956492,465.74,0.071,1181.9
cos_subtitles_log_cooccurrence_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.078,-0.254,0.115,0.0914295663461288,263.95,0.283,1184.1
cos_subtitles_log_cooccurrence_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.048,-0.127,0.207,0.125545222493646,499.11,0.057,1181.5
cos_subtitles_log_cooccurrence_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.023,-0.176,0.129,0.110219648282545,374.86,0.138,1183
cos_subtitles_pmi_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.32,-0.478,-0.147,0.216947198095198,-652.89,0.315,1184.3
cos_subtitles_pmi_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.106,-0.287,0.12,0.0869550269650255,-194.02,0.731,1185.3
cos_subtitles_pmi_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.197,-0.381,-0.014,0.14650719438357,-295.48,0.631,1185.1
cos_subtitles_pmi_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.125,-0.351,0.111,0.0992015161717538,-121.97,0.841,1185.3
cos_subtitles_ppmi_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.242,-0.389,-0.115,0.176863729781333,64.39,0.944,1185.4
cos_subtitles_ppmi_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.066,-0.246,0.131,0.0407697511611857,500.57,0.623,1185.1
cos_subtitles_ppmi_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.131,-0.307,0.039,0.113080316621213,736.31,0.502,1184.9
cos_subtitles_ppmi_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.054,-0.249,0.168,0.0427326990989293,1023.76,0.35,1184.4
cos_subtitles_probability_ratios_None_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.201,0.085,0.312,0.207341780193164,7420.59,0.654,1185.2
cos_subtitles_probability_ratios_None_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.367,0.216,0.519,-0.13949059962311,16477.55,0,1164.4
cos_subtitles_probability_ratios_None_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.305,0.176,0.424,-0.0261328010244433,20950.88,0.01,1178.4
cos_subtitles_probability_ratios_None_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.295,0.166,0.427,-0.206288833893667,18340.2,0,1171.2
cos_subtitles_skipgram_100_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.307,0.14,0.452,-0.000961734236998293,370.6,0.003,1176.1
cos_subtitles_skipgram_100_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.494,0.317,0.641,-0.185635646826767,557.6,0,1164.9
cos_subtitles_skipgram_100_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.446,0.296,0.59,-0.0827421258042707,527.27,0,1170.1
cos_subtitles_skipgram_100_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.52,0.387,0.655,-0.176462274174133,605.03,0,1163
cos_subtitles_skipgram_200_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.27,0.088,0.42,-0.00198620450892672,361.52,0.011,1178.5
cos_subtitles_skipgram_200_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.402,0.215,0.575,-0.0803594901559258,479.55,0,1171.8
cos_subtitles_skipgram_200_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.34,0.166,0.491,-0.0759898734257951,466.27,0.002,1175
cos_subtitles_skipgram_200_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.452,0.293,0.612,-0.133462972654365,594.02,0,1166.5
cos_subtitles_skipgram_300_r1,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.301,0.129,0.465,-0.0544269907961985,555.86,0.001,1174.3
cos_subtitles_skipgram_300_r10,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.437,0.266,0.563,-0.11074317921963,607.05,0,1168.2
cos_subtitles_skipgram_300_r3,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.253,0.059,0.404,-0.0118300743395036,572.04,0.002,1174.8
cos_subtitles_skipgram_300_r5,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.397,0.216,0.547,-0.0732537171134284,597.49,0,1169.5
