lmd,baseline,corLDMmRT,corLDMmRT_CI_lower,corLDMmRT_CI_upper,corLDM_congruent,coef.cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,p_value,BIC
cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.478,-0.604,-0.344,-0.00588727655120303,-631.3,0.01,1178.2
cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.611,-0.705,-0.51,-0.00355670580612652,-789.07,0,1160.8
cor_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.281,-0.469,-0.109,0.0146537100773525,-112.1,0.542,1185
cor_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.589,-0.694,-0.475,-0.00103065472011319,-461.71,0,1163.6
cor_llama_2_13b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.466,-0.616,-0.327,-2.44247265447392e-05,-454.15,0.016,1179.1
cor_llama_2_13b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.545,-0.648,-0.438,0.00113910081185626,-548.44,0,1171.6
cor_llama_2_70b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.578,-0.667,-0.447,0.0515115927652139,-440.26,0,1165.8
cor_llama_2_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.588,-0.713,-0.448,0.0585035139716599,-802.12,0,1164.3
cor_llama_2_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.662,-0.75,-0.563,0.0192982812460509,-416.7,0,1149.7
cor_llama_30b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.284,-0.5,-0.102,0.0223882865534838,-49.16,0.613,1185.1
cor_llama_30b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.422,-0.583,-0.252,0.0133476648577421,-158.37,0.053,1181.4
cor_llama_65b_Q5_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.475,-0.605,-0.333,0.0655212525340614,-404.1,0.007,1177.5
cor_llama_65b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.611,-0.709,-0.509,0.0490358571880386,-417.94,0,1160.4
cor_llama_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.421,-0.548,-0.231,-0.00504395407830899,-390.67,0.043,1181
cor_llama_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.614,-0.699,-0.495,-0.00243142655818797,-396.02,0,1160.1
cor_Meta_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.13,-0.112,0.352,0.0448149979878549,472.02,0.013,1178.8
cor_Meta_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.564,-0.657,-0.456,0.00520812194343023,-401.63,0,1168.7
