lmd,baseline,corLDMmRT,corLDMmRT_CI_lower,corLDMmRT_CI_upper,corLDM_congruent,coef.cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,p_value,BIC
cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.475,-0.589,-0.327,-0.00588727655120303,-631.55,0.01,1179.5
cor_dolphin_2_8_mistral_7b_v02_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.609,-0.711,-0.5,-0.00355670580612652,-790.5,0,1162.3
cor_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.282,-0.465,-0.054,0.0146537100773525,-117.84,0.524,1186.2
cor_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.589,-0.694,-0.47,-0.00103065472011319,-465.84,0,1164.7
cor_llama_2_13b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.465,-0.602,-0.322,-2.44247265447392e-05,-460.54,0.015,1180.3
cor_llama_2_13b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.544,-0.658,-0.428,0.00113910081185626,-553.54,0,1172.8
cor_llama_2_70b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.578,-0.675,-0.481,0.0515115927652139,-446.77,0,1166.7
cor_llama_2_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.587,-0.702,-0.416,0.0585035139716599,-806.25,0,1165.6
cor_llama_2_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.66,-0.749,-0.558,0.0192982812460509,-418.4,0,1151.1
cor_llama_30b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.288,-0.478,-0.073,0.0223882865534838,-55.75,0.569,1186.3
cor_llama_30b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.424,-0.55,-0.263,0.0133476648577421,-163.78,0.046,1182.4
cor_llama_65b_Q5_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.477,-0.592,-0.343,0.0655212525340614,-412.67,0.006,1178.5
cor_llama_65b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.611,-0.706,-0.5,0.0490358571880386,-423,0,1161.3
cor_llama_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.421,-0.566,-0.262,-0.00504395407830899,-397.36,0.041,1182.1
cor_llama_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.613,-0.703,-0.507,-0.00243142655818797,-398.66,0,1161.3
cor_Meta_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0.128,-0.091,0.334,0.0448149979878549,468.53,0.015,1180.3
cor_Meta_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.563,-0.662,-0.448,0.00520812194343023,-404.93,0,1169.8
cor_meta_llama_3_1_8b_q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,0,-0.276,0.224,0.0429449246544283,290.65,0.076,1183.3
cor_meta_llama_3_1_8b_q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.535,-0.642,-0.414,0.00561452560589222,-426.29,0,1173.1
cor_mistral_7b_v0_1_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.473,-0.599,-0.347,-0.00269786804934565,-530.54,0.009,1179.3
cor_mistral_7b_v0_1_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.596,-0.69,-0.483,0.0045086731976509,-690.67,0,1165.1
cor_Mistral_7B_v0_3_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.483,-0.602,-0.371,-0.0189678195797639,-569.02,0.008,1179.1
cor_Mistral_7B_v0_3_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.602,-0.686,-0.495,-0.00786160128890096,-677.78,0,1163.9
cos_dolphin_2_8_mistral_7b_v02_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.474,-0.605,-0.321,-0.00618165225854042,-626.36,0.011,1179.7
cos_dolphin_2_8_mistral_7b_v02_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.608,-0.71,-0.491,-0.00377276351520563,-790.67,0,1162.4
cos_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.282,-0.455,-0.124,0.0146565869379711,-117.93,0.524,1186.2
cos_Hermes_3_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.589,-0.702,-0.451,-0.00102283996594867,-465.82,0,1164.7
cos_llama_2_13b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.465,-0.614,-0.311,3.63686632929276e-05,-461.65,0.015,1180.2
cos_llama_2_13b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.544,-0.656,-0.404,0.00117968947948408,-554.22,0,1172.7
cos_llama_2_70b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.578,-0.669,-0.469,0.0514943755180125,-446.47,0,1166.7
cos_llama_2_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.587,-0.693,-0.451,0.0584991251711338,-806.3,0,1165.6
cos_llama_2_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.66,-0.74,-0.558,0.0192882796762956,-418.43,0,1151.1
cos_llama_30b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.288,-0.498,-0.097,0.0223589280574979,-55.76,0.569,1186.3
cos_llama_30b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logSUBTITLES,-0.424,-0.568,-0.242,0.0133176774561998,-163.76,0.046,1182.4
