lmd,baseline,corLDMmRT,corLDMmRT_CI_lower,corLDMmRT_CI_upper,corLDM_congruent,coef,p_value,BIC
cos_llama_2_13b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.466,-0.58,-0.326,3.63686632929276e-05,-405.76,0.035,1178
cos_llama_2_13b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.545,-0.655,-0.406,0.00117968947948408,-529.36,0.001,1171.4
cos_llama_2_70b_Q5_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.311,-0.453,-0.147,0.0931918444256275,-215.11,0.129,1180.3
cos_llama_2_70b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.577,-0.666,-0.471,0.0514943755180125,-402.85,0,1164.8
cos_llama_2_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.588,-0.718,-0.434,0.0584991251711338,-762.83,0,1163.7
cos_llama_2_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.662,-0.756,-0.549,0.0192882796762956,-399.32,0,1149.9
cos_llama_30b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.284,-0.473,-0.097,0.0223589280574979,-47.3,0.611,1182.5
cos_llama_30b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.422,-0.574,-0.246,0.0133176774561998,-143.23,0.069,1179.2
cos_llama_65b_Q5_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.475,-0.615,-0.343,0.0655132101964997,-373.47,0.011,1175.9
cos_llama_65b_Q5_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.611,-0.71,-0.485,0.0490267314155671,-388.28,0,1159.9
cos_llama_7b_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.421,-0.569,-0.228,-0.00502925277666941,-347.86,0.072,1179.3
cos_llama_7b_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.614,-0.713,-0.508,-0.00245848498687299,-377.38,0,1160
cos_Meta_Llama_3_1_70B_Q5_K_M_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,0.13,-0.073,0.314,0.0447232288855597,405.43,0.029,1177.7
cos_Meta_Llama_3_1_70B_Q5_K_M_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.564,-0.661,-0.441,0.00520327302314486,-367.45,0,1168.1
cos_meta_llama_3_1_8b_q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,0,-0.176,0.222,0.0430930200138572,257.11,0.107,1180
cos_meta_llama_3_1_8b_q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.537,-0.652,-0.396,0.00570807029281709,-387.72,0.001,1170.8
cos_mistral_7b_v0_1_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.474,-0.585,-0.335,-0.00276785410605936,-489.07,0.014,1176.3
cos_mistral_7b_v0_1_Q8_0_pairs_names_Upper,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.598,-0.686,-0.498,0.00445881089745147,-660.62,0,1163.7
cos_Mistral_7B_v0_3_Q8_0_pairs,m_RT ~ country + Letters_n + Syllables_n+ logBNC,-0.485,-0.594,-0.365,-0.0191368800092343,-518.16,0.016,1176.5
