lmd,baseline,corLDMmRT,corLDMmRT_CI_lower,corLDMmRT_CI_upper,corLDM_congruent,coef,p_value,BIC
subtitles_conditional_probability_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.23,-0.416,-0.063,0.175439614342768,-87806.32,0.065,1183
subtitles_conditional_probability_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.477,-0.609,-0.338,0.14222650535294,-124222.97,0,1172.3
subtitles_conditional_probability_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.456,-0.568,-0.343,0.194674947368687,-91405.59,0,1172.6
subtitles_conditional_probability_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.459,-0.577,-0.333,0.128327301354792,-104794.54,0.001,1174.2
subtitles_log_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.147,-0.343,0.016,0.0508184627950211,-84.63,0.003,1177.4
subtitles_log_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.206,-0.351,-0.056,0.0918664224220034,-80.99,0,1172.6
subtitles_log_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.24,-0.406,-0.063,0.0860229545867056,-66.73,0.001,1175.4
subtitles_log_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.21,-0.372,-0.03,0.0477837713846053,-70.02,0.001,1174.9
subtitles_pmi_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.205,0.047,0.341,-0.0401707021870439,17.46,0.084,1183.4
subtitles_pmi_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.182,-0.358,0.017,0.211116970226151,-20.58,0.105,1183.8
subtitles_pmi_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.16,-0.398,0.096,0.112433824463009,-15.69,0.163,1184.5
subtitles_pmi_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.136,-0.351,0.07,0.00376906608392668,-9.09,0.43,1186
subtitles_ppmi_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.125,-0.052,0.275,0.070482958088357,1.56,0.905,1186.6
subtitles_ppmi_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.172,-0.373,0.021,0.183453757109626,-44.59,0.082,1183.4
subtitles_ppmi_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.205,-0.361,-0.037,0.256434211174938,-33.12,0.047,1182.4
subtitles_ppmi_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.185,-0.384,-0.02,0.170182329854378,-29.03,0.155,1184.4
subtitles_probability_ratio_ngram_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.086,-0.013,0.229,0.12388500984836,0.25,0.934,1186.6
subtitles_probability_ratio_ngram_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.226,-0.439,0.006,0.235184059177604,-33.05,0.053,1182.6
subtitles_probability_ratio_ngram_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.18,-0.371,0.008,0.254538584775215,-12.92,0.101,1183.7
subtitles_probability_ratio_ngram_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.19,-0.381,0.019,0.178653725956867,-19.37,0.095,1183.6
cos_subtitles_cbow_100_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.156,-0.001,0.355,0.023843287834875,201.9,0.061,1182.9
cos_subtitles_cbow_100_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.363,0.15,0.532,-0.259357610975814,387.81,0,1170.6
cos_subtitles_cbow_100_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.325,0.101,0.492,-0.0826885133632779,259.85,0.005,1178.2
cos_subtitles_cbow_100_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.353,0.153,0.549,-0.147205111627701,294.52,0.002,1176
cos_subtitles_cbow_200_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.161,-0.029,0.349,0.0126860568911061,252.25,0.058,1182.8
cos_subtitles_cbow_200_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.289,0.042,0.501,-0.217105479009435,305.6,0.013,1180
cos_subtitles_cbow_200_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.319,0.099,0.519,-0.0807163248258594,324.78,0.005,1178.3
cos_subtitles_cbow_200_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.317,0.107,0.489,-0.153837587179355,337.03,0.004,1177.6
cos_subtitles_cbow_300_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.122,-0.08,0.308,0.0492488700597047,217.03,0.195,1184.8
cos_subtitles_cbow_300_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.268,0.071,0.458,-0.211157884093419,365.49,0.015,1180.3
cos_subtitles_cbow_300_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.335,0.144,0.507,-0.113860899883114,406.53,0.003,1177
cos_subtitles_cbow_300_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.308,0.06,0.504,-0.154845210348315,372.45,0.004,1177.6
cos_subtitles_cbow_50_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.27,0.05,0.442,-0.00808757900214103,243.15,0.012,1179.8
cos_subtitles_cbow_50_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.395,0.187,0.57,-0.180132625591756,246.31,0.001,1174.4
cos_subtitles_cbow_50_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.392,0.22,0.511,-0.0784406753599746,230.2,0.001,1174.4
cos_subtitles_cbow_50_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.433,0.269,0.579,-0.175666205165195,252.15,0,1173.1
cos_subtitles_cbow_500_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.1,-0.061,0.288,0.0234232376238452,258.29,0.181,1184.7
cos_subtitles_cbow_500_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.293,0.079,0.467,-0.183121053221174,363.87,0.015,1180.3
cos_subtitles_cbow_500_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.292,0.072,0.468,-0.060840673581245,404.64,0.01,1179.4
cos_subtitles_cbow_500_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.315,0.12,0.482,-0.127076281072886,406.59,0.005,1178.1
cos_subtitles_conditional_probability_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.389,-0.535,-0.245,0.00817265045393462,-123.45,0.093,1183.6
cos_subtitles_conditional_probability_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.036,-0.13,0.204,-0.0668459228255678,831.01,0.112,1183.9
cos_subtitles_conditional_probability_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.272,-0.422,-0.099,-0.0219354620187318,-102.61,0.447,1186
cos_subtitles_conditional_probability_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.127,-0.268,0.048,-0.0380868314711903,106.73,0.668,1186.4
cos_subtitles_log_cooccurrence_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.152,-0.004,0.298,0.170603269956492,462.01,0.075,1183.2
cos_subtitles_log_cooccurrence_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.08,-0.254,0.087,0.0914295663461288,261.25,0.291,1185.4
cos_subtitles_log_cooccurrence_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.046,-0.084,0.158,0.125545222493646,496.47,0.06,1182.8
cos_subtitles_log_cooccurrence_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.025,-0.17,0.12,0.110219648282545,371.89,0.143,1184.3
cos_subtitles_pmi_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.321,-0.478,-0.138,0.216947198095198,-666.15,0.308,1185.5
cos_subtitles_pmi_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.107,-0.312,0.108,0.0869550269650255,-198.87,0.726,1186.5
cos_subtitles_pmi_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.197,-0.396,0.004,0.14650719438357,-297.87,0.63,1186.4
cos_subtitles_pmi_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.126,-0.349,0.086,0.0992015161717538,-126.12,0.837,1186.6
cos_subtitles_ppmi_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.243,-0.382,-0.093,0.176863729781333,44.79,0.961,1186.6
cos_subtitles_ppmi_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.067,-0.289,0.158,0.0407697511611857,483.19,0.638,1186.4
cos_subtitles_ppmi_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.132,-0.33,0.04,0.113080316621213,727.77,0.51,1186.2
cos_subtitles_ppmi_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,-0.055,-0.284,0.154,0.0427326990989293,1008.41,0.36,1185.7
cos_subtitles_probability_ratios_None_r1,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.202,0.088,0.313,0.207341780193164,7803.74,0.64,1186.4
cos_subtitles_probability_ratios_None_r10,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.364,0.212,0.505,-0.13949059962311,16488.75,0,1165.9
cos_subtitles_probability_ratios_None_r3,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.304,0.163,0.441,-0.0261328010244433,21041.85,0.011,1179.6
cos_subtitles_probability_ratios_None_r5,m_RT ~ country + Letters_n + Syllables_n+logSUBTITLES,0.297,0.179,0.446,-0.206288833893667,18624.26,0,1172.1
