lmd,baseline,corLDMmRT,corLDMmRT_CI_lower,corLDMmRT_CI_upper,corLDM_congruent,coef.subtitles_conditional_probability_ngram_None_r1,p_value,BIC
subtitles_conditional_probability_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.23,-0.416,-0.029,0.175439614342768,-86280.26,0.067,1178.5
subtitles_conditional_probability_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.477,-0.584,-0.348,0.14222650535294,-123413.1,0,1167.9
subtitles_conditional_probability_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.456,-0.555,-0.321,0.194674947368687,-90252,0,1168.3
subtitles_conditional_probability_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.459,-0.572,-0.312,0.128327301354792,-104050.76,0.001,1169.8
subtitles_log_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.147,-0.292,0.009,0.0508184627950211,-83.92,0.003,1173
subtitles_log_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.206,-0.35,-0.043,0.0918664224220034,-81.03,0,1168
subtitles_log_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.24,-0.4,-0.082,0.0860229545867056,-66.75,0.001,1170.9
subtitles_log_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.21,-0.372,-0.052,0.0477837713846053,-69.96,0.001,1170.3
subtitles_pmi_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.205,0.053,0.372,-0.0401707021870439,17.35,0.081,1178.9
subtitles_pmi_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.182,-0.375,0.035,0.211116970226151,-19.59,0.115,1179.4
subtitles_pmi_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.16,-0.394,0.065,0.112433824463009,-15.23,0.17,1180.1
subtitles_pmi_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.136,-0.352,0.075,0.00376906608392668,-8.39,0.454,1181.5
subtitles_ppmi_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.125,-0.032,0.291,0.070482958088357,1.7,0.896,1182.1
subtitles_ppmi_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.172,-0.393,0.048,0.183453757109626,-40.2,0.102,1179.2
subtitles_ppmi_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.205,-0.375,-0.03,0.256434211174938,-32.59,0.049,1178
subtitles_ppmi_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.185,-0.363,-0.015,0.170182329854378,-28.05,0.163,1180
subtitles_probability_ratio_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.086,-0.022,0.208,0.12388500984836,0.27,0.929,1182.1
subtitles_probability_ratio_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.226,-0.437,0.032,0.235184059177604,-30.89,0.062,1178.4
subtitles_probability_ratio_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.18,-0.367,0.003,0.254538584775215,-12.85,0.1,1179.2
subtitles_probability_ratio_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.19,-0.352,-0.023,0.178653725956867,-19.14,0.096,1179.1
cos_subtitles_cbow_100_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.156,-0.065,0.341,0.023843287834875,196.45,0.064,1178.5
cos_subtitles_cbow_100_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.363,0.178,0.565,-0.259357610975814,387.74,0,1166
cos_subtitles_cbow_100_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.325,0.133,0.481,-0.0826885133632779,259.44,0.005,1173.6
cos_subtitles_cbow_100_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.353,0.149,0.528,-0.147205111627701,294.67,0.002,1171.4
cos_subtitles_cbow_200_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.161,-0.049,0.339,0.0126860568911061,251.27,0.057,1178.2
cos_subtitles_cbow_200_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.289,0.08,0.465,-0.217105479009435,305.85,0.012,1175.4
cos_subtitles_cbow_200_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.319,0.097,0.509,-0.0807163248258594,322.98,0.005,1173.8
cos_subtitles_cbow_200_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.317,0.119,0.469,-0.153837587179355,337.11,0.003,1173
cos_subtitles_cbow_300_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.122,-0.093,0.314,0.0492488700597047,214.77,0.197,1180.3
cos_subtitles_cbow_300_r10,m_RT ~ country +  Letters_n + logSUBTITLES,0.268,0.049,0.448,-0.211157884093419,363.67,0.015,1175.8
cos_subtitles_cbow_300_r3,m_RT ~ country +  Letters_n + logSUBTITLES,0.335,0.14,0.502,-0.113860899883114,402.25,0.003,1172.6
cos_subtitles_cbow_300_r5,m_RT ~ country +  Letters_n + logSUBTITLES,0.308,0.107,0.483,-0.154845210348315,372.41,0.004,1173.1
cos_subtitles_cbow_50_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.27,0.083,0.439,-0.00808757900214103,241.75,0.011,1175.3
