lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
subtitles_conditional_probability_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.228,-0.401,-0.035,0.175439614342768,-102658.47,0.034,1125.8,subtitles_conditional_probability_ngram_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_conditional_probability_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.23,-0.407,-0.026,0.175439614342768,-102782.18,0.035,1127.3,subtitles,-,lowercase,conditional_probability_ngram,r_01,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_conditional_probability_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.481,-0.601,-0.377,0.14222650535294,-104761.52,0.001,1122,subtitles_conditional_probability_ngram_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_conditional_probability_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.477,-0.594,-0.35,0.14222650535294,-104427.94,0.002,1123.7,subtitles,-,lowercase,conditional_probability_ngram,r_10,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_conditional_probability_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.459,-0.571,-0.341,0.194674947368687,-78899.78,0.001,1121.7,subtitles_conditional_probability_ngram_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_conditional_probability_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.456,-0.553,-0.348,0.194674947368687,-78652.09,0.001,1123.3,subtitles,-,lowercase,conditional_probability_ngram,r_03,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_conditional_probability_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.462,-0.568,-0.344,0.128327301354792,-86529.81,0.003,1123.5,subtitles_conditional_probability_ngram_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_conditional_probability_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.459,-0.576,-0.326,0.128327301354792,-86465.1,0.003,1125.1,subtitles,-,lowercase,conditional_probability_ngram,r_05,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.146,-0.289,0.039,0.0508184627950211,-70.35,0.016,1140.1,subtitles_log_ngram_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_log_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.147,-0.319,0.026,0.0508184627950211,-71.36,0.016,1141.4,subtitles,-,lowercase,log_ngram,r_01,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.21,-0.374,-0.059,0.0918664224220034,-70.24,0.001,1136.6,subtitles_log_ngram_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_log_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.206,-0.357,-0.04,0.0918664224220034,-69.84,0.002,1138.3,subtitles,-,lowercase,log_ngram,r_10,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.243,-0.403,-0.056,0.0860229545867056,-56.65,0.005,1138.9,subtitles_log_ngram_None_r3m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_log_ngram_None_r3,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.24,-0.408,-0.044,0.0860229545867056,-56.68,0.006,1140.5,subtitles,-,lowercase,log_ngram,r_03,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.212,-0.359,-0.032,0.0477837713846053,-57.7,0.006,1139.5,subtitles_log_ngram_None_r5m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_log_ngram_None_r5,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.21,-0.357,-0.061,0.0477837713846053,-57.9,0.007,1141,subtitles,-,lowercase,log_ngram,r_05,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_pmi_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.211,0.041,0.377,-0.0401707021870439,18.43,0.092,1144.4,subtitles_pmi_ngram_None_r1m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_pmi_ngram_None_r1,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,0.205,0.062,0.373,-0.0401707021870439,18,0.102,1145.9,subtitles,-,lowercase,pmi_ngram,r_01,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
subtitles_pmi_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.187,-0.37,-0.025,0.211116970226151,-28.06,0.034,1142.2,subtitles_pmi_ngram_None_r10m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,subtitles_pmi_ngram_None_r10,m_RT ~  (1|stimuli) + country +  Letters_n+logSUBTITLES,-0.182,-0.382,0.025,0.211116970226151,-27.31,0.04,1143.9,subtitles,-,lowercase,pmi_ngram,r_10,None,ngram,1149.13,1150.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
