lmd_A,baseline_A,corLDMmRT_A,corLDMmRT_CI_lower_A,corLDMmRT_CI_upper_A,corLDM_congruent_A,coef.subtitles_conditional_probability_ngram_None_r1_A,p_value_A,BIC_A,ext_model,lmd_B,baseline_B,corLDMmRT_B,corLDMmRT_CI_lower_B,corLDMmRT_CI_upper_B,corLDM_congruent_B,coef.subtitles_conditional_probability_ngram_None_r1_B,p_value_B,BIC_B,corpora,measure,stimuli,model,window_radius,embedding_size,family,base_BIC_A,base_BIC_B,C1_corr_dir,C0_bAB,C2_B_inCI,C1C2,C3_AB_pvalue,C1C2C3,C4_dBIC_AB,C1C2C3C4
subtitles_conditional_probability_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.228,-0.4,-0.074,0.175439614342768,-84697.91,0.071,1177.4,subtitles_conditional_probability_ngram_None_r1m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_conditional_probability_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.23,-0.416,-0.029,0.175439614342768,-86280.26,0.067,1178.5,subtitles,-,lowercase,conditional_probability_ngram,r_01,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_conditional_probability_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.481,-0.598,-0.356,0.14222650535294,-124197.25,0,1166.3,subtitles_conditional_probability_ngram_None_r10m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_conditional_probability_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.477,-0.584,-0.348,0.14222650535294,-123413.1,0,1167.9,subtitles,-,lowercase,conditional_probability_ngram,r_10,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_conditional_probability_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.459,-0.562,-0.343,0.194674947368687,-90689.98,0,1166.7,subtitles_conditional_probability_ngram_None_r3m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_conditional_probability_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.456,-0.555,-0.321,0.194674947368687,-90252,0,1168.3,subtitles,-,lowercase,conditional_probability_ngram,r_03,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_conditional_probability_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.462,-0.578,-0.307,0.128327301354792,-104486.76,0.001,1168.2,subtitles_conditional_probability_ngram_None_r5m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_conditional_probability_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.459,-0.572,-0.312,0.128327301354792,-104050.76,0.001,1169.8,subtitles,-,lowercase,conditional_probability_ngram,r_05,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.146,-0.313,0.023,0.0508184627950211,-82.98,0.004,1171.9,subtitles_log_ngram_None_r1m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_log_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,-0.147,-0.292,0.009,0.0508184627950211,-83.92,0.003,1173,subtitles,-,lowercase,log_ngram,r_01,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.21,-0.374,-0.02,0.0918664224220034,-81.65,0,1166.3,subtitles_log_ngram_None_r10m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_log_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.206,-0.35,-0.043,0.0918664224220034,-81.03,0,1168,subtitles,-,lowercase,log_ngram,r_10,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.243,-0.383,-0.08,0.0860229545867056,-66.9,0.001,1169.4,subtitles_log_ngram_None_r3m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_log_ngram_None_r3,m_RT ~ country +  Letters_n + logSUBTITLES,-0.24,-0.4,-0.082,0.0860229545867056,-66.75,0.001,1170.9,subtitles,-,lowercase,log_ngram,r_03,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_log_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.212,-0.376,-0.027,0.0477837713846053,-70.11,0.001,1168.9,subtitles_log_ngram_None_r5m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_log_ngram_None_r5,m_RT ~ country +  Letters_n + logSUBTITLES,-0.21,-0.372,-0.052,0.0477837713846053,-69.96,0.001,1170.3,subtitles,-,lowercase,log_ngram,r_05,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
subtitles_pmi_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.211,0.066,0.35,-0.0401707021870439,17.92,0.07,1177.4,subtitles_pmi_ngram_None_r1m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_pmi_ngram_None_r1,m_RT ~ country +  Letters_n + logSUBTITLES,0.205,0.053,0.372,-0.0401707021870439,17.35,0.081,1178.9,subtitles,-,lowercase,pmi_ngram,r_01,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
subtitles_pmi_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.187,-0.351,0.006,0.211116970226151,-20.12,0.103,1178,subtitles_pmi_ngram_None_r10m_RT ~ country +  Letters_n + logSUBTITLES,subtitles_pmi_ngram_None_r10,m_RT ~ country +  Letters_n + logSUBTITLES,-0.182,-0.375,0.035,0.211116970226151,-19.59,0.115,1179.4,subtitles,-,lowercase,pmi_ngram,r_10,None,ngram,1176.28,1177.51,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
