family,model,n,C0_bAB,C0_bABpc,C1,C1pc,C2,C2pc,C3,C3pc,C4,C4pc,C3C4,C3C4pc,allC,allCpc
count,conditional_probability_None,36,,,36,100,36,100,4,11.1111111111111,2,5.55555555555556,2,5.55555555555556,,
count,glove_6B_300d,9,,,9,100,9,100,0,0,0,0,0,0,0,0
count,log_cooccurrence_None,36,,,36,100,36,100,20,55.5555555555556,17,47.2222222222222,17,47.2222222222222,,
count,pmi_None,36,,,36,100,36,100,14,38.8888888888889,12,33.3333333333333,12,33.3333333333333,,
count,ppmi_None,36,,,36,100,36,100,12,33.3333333333333,12,33.3333333333333,12,33.3333333333333,,
count,probability_ratios_None,36,,,36,100,36,100,14,38.8888888888889,6,16.6666666666667,6,16.6666666666667,,
llm,llama_2_13b_chat_Q5_K_S,18,,,18,100,18,100,12,66.6666666666667,2,11.1111111111111,2,11.1111111111111,,
llm,llama_2_7b_chat_Q4_K_M,18,,,18,100,18,100,14,77.7777777777778,12,66.6666666666667,12,66.6666666666667,,
llm,mistral_7b_v0_1_Q4_K_M,18,,,18,100,18,100,18,100,9,50,9,50,,
ngram,conditional_probability_ngram,12,,,12,100,12,100,6,50,4,33.3333333333333,4,33.3333333333333,,
ngram,log_ngram,12,,,12,100,12,100,4,33.3333333333333,4,33.3333333333333,4,33.3333333333333,,
ngram,pmi_ngram,12,,,12,100,12,100,2,16.6666666666667,0,0,0,0,0,0
ngram,ppmi_ngram,12,,,11,91.6666666666667,12,100,4,33.3333333333333,0,0,0,0,0,0
ngram,probability_ratio_ngram,12,,,12,100,12,100,4,33.3333333333333,0,0,0,0,0,0
predict,cbow,180,,,180,100,180,100,78,43.3333333333333,50,27.7777777777778,50,27.7777777777778,,
predict,skipgram,180,,,180,100,180,100,77,42.7777777777778,57,31.6666666666667,57,31.6666666666667,,
