"sex","Order","edu","ethnic","politicalid_6","country_mig","major","age","Mn_RT_all_3467","PCT_error_3467","D_biep.Male_Career_all","assocareer","assofamily","impcareer","impfamily","havechildren","numboys","numgirls","planchildren"
"m",2,12,5,6,FALSE,6,57,846.633333333333,2.5,0.842260299346284,4,2,3,4,"yes",NA,NA,"."
"f",2,7,6,6,FALSE,10,25,1135.1,7.5,0.649507332654055,3,2,1,1,"no",NA,NA,"2"
"f",1,8,5,6,FALSE,8,51,1011.75833333333,6.66666666666667,0.744175601001788,4,2,3,4,"yes",NA,NA,"."
"m",1,7,5,4,FALSE,1,44,1185.89166666667,10,0.871546594327689,4,3,2,5," ",NA,NA,"."
"f",2,7,5,6,FALSE,12,27,772.475,3.33333333333333,0.225987207494047,3,2,3,4,"no",NA,NA,"3"
"f",1,5,6,6,FALSE,12,25,895.575,5,0.000463314543247051,3,3,3,4,"no",NA,NA,"3"
"f",2,7,5,5,FALSE,9,20,742.225,6.66666666666667,0.722381765965999,4,1,5,5,"no",NA,NA,"3"
"f",1,7,5,4,FALSE,11,22,986.725,3.33333333333333,-0.0200950509498394,3,2,5,5,"no",NA,NA,"3"
"m",2,9,3,5,TRUE,1,46,1592.425,4.16666666666667,0.58143315701081,4,3,3,2,"no",NA,NA,"1"
"f",1,9,5,6,FALSE,11,51,840.291666666667,5.83333333333333,0.167203998829475,3,3,5,5,"no",NA,NA,"2"
"f",1,9,5,6,FALSE,11,23,1332.29166666667,7.5,0.39143836663221,4,2,4,2,"no",NA,NA,"2"
"f",1,5,5,2,FALSE,13,21,838.491666666667,8.33333333333333,0.67732242114086,3,2,2,5,"yes",NA,NA,"."
"f",2,5,5,5,FALSE,11,19,757.283333333333,10,-0.16474997864184,2,2,5,4,"no",NA,NA,"1"
"f",2,9,5,4,FALSE,8,23,855.491666666667,6.66666666666667,0.66818969634782,3,3,4,4,"no",NA,NA,"1"
"m",2,5,2,3,TRUE,9,20,568.491666666667,1.66666666666667,0.587285918196129,3,3,3,4,"no",NA,NA,"3"
"f",2,7,5,6,FALSE,1,23,754.333333333333,9.16666666666667,-0.228727360533118,3,3,3,3,"no",NA,NA,"1"
"m",2,7,5,4,FALSE,10,46,866.125,0.833333333333333,0.193839427666357,5,1,3,3,"yes",NA,NA,"2"
"f",2,7,6,5,FALSE,8,38,1786.275,5.83333333333333,0.202764067962137,5,2,5,2,"no",NA,NA,"1"
"m",2,7,5,5,FALSE,4,25,722.383333333333,5.83333333333333,0.695176381914679,4,2,4,3,"no",NA,NA,"3"
"f",2,5,5,6,FALSE,8,35,632.125,7.5,-0.0597822666647451,3,2,2,5,"yes",NA,NA,"."
"f",1,5,5,4,FALSE,9,19,711.733333333333,8.33333333333333,0.284698932164355,3,2,4,4,"no",NA,NA,"3"
"f",1,8,5,5,FALSE,8,50,653.233333333333,4.16666666666667,0.0461698325890474,2,4,3,5,"yes",NA,NA,"."
"f",1,NA,5,4,FALSE,8,32,839.125,5.83333333333333,0.704131320944912,3,3,3,4,"no",NA,NA,"2"
"m",2,5,5,5,FALSE,1,33,646.983333333333,7.5,0.739209524642861,2,3,3,3,"no",NA,NA,"2"
"f",1,8,5,5,FALSE,11,22,913.15,2.5,0.562480510388012,3,3,3,4,"no",NA,NA,"1"
"m",2,NA,NA,NA,FALSE,9,43,839.958333333333,8.33333333333333,0.00477611783438701,3,3,3,4,"no",NA,NA,"2"
"f",1,4,5,4,FALSE,NA,27,655.508333333333,3.33333333333333,0.325754697941996,3,2,1,2,"no",NA,NA,"2"
"f",2,4,5,3,FALSE,NA,40,706.525,6.66666666666667,0.822849943928461,2,3,4,4,"no",NA,NA,"2"
"f",2,7,5,5,FALSE,5,32,806.275,6.66666666666667,0.318783103708655,3,2,3,4,"no",NA,NA,"3"
"f",1,9,5,4,FALSE,7,50,777.433333333333,7.5,0.119417276424111,4,2,4,5,"yes",NA,NA,"."
"f",2,7,5,5,TRUE,3,41,1025.03333333333,3.33333333333333,0.0676617079055016,3,3,3,5,"yes",NA,NA,"."
"f",1,5,5,4,FALSE,12,18,859.525,10,0.460339601485897,2,1,5,3,"no",NA,NA,"1"
"m",1,6,5,2,FALSE,6,25,621.983333333333,1.66666666666667,-0.0615890468788668,4,2,5,3,"no",NA,NA,"3"
"f",2,5,5,2,FALSE,1,32,705.7,5,0.206600345167426,4,2,3,4,"yes",NA,NA,"."
"f",1,7,NA,NA,FALSE,13,25,704.375,5,0.722009048016847,3,2,4,5,"no",NA,NA,"3"
"f",2,9,5,3,FALSE,2,24,1008.58333333333,0.833333333333333,0.519593950719498,4,2,3,4,"no",NA,NA,"3"
"f",2,7,5,5,FALSE,8,47,894.616666666667,0,-0.0586398935643715,3,3,5,5,"yes",NA,NA,"."
"f",1,9,5,6,FALSE,8,27,741.283333333333,0.833333333333333,-0.203008770043876,4,2,5,5,"no",NA,NA,"3"
"f",1,13,5,4,FALSE,10,27,695.816666666667,9.16666666666667,0.163484385988298,4,2,3,4,"no",NA,NA,"3"
"m",2,9,5,4,FALSE,6,34,831.666666666667,5.83333333333333,0.597435847705942,5,2,1,5,"no",NA,NA,"1"
"f",1,3,5,3,FALSE,NA,37,1095.85,0.833333333333333,0.442690638163047,5,1,3,5,"yes",NA,NA,"."
"f",1,9,5,5,FALSE,6,29,701.416666666667,3.33333333333333,0.0475516563438202,3,2,3,4,"no",NA,NA,"3"
"f",1,7,5,3,FALSE,10,20,650.683333333333,6.66666666666667,-0.00513695890937967,3,2,5,5,"no",NA,NA,"3"
"f",2,5,5,3,FALSE,13,18,845.833333333333,0,0.184823249109096,3,3,3,3,"no",NA,NA,"1"
"f",2,7,5,NA,FALSE,10,19,858.183333333333,5,0.699018552046914,3,2,2,3,"no",NA,NA,"1"
"f",1,12,5,5,FALSE,10,45,841.875,0.833333333333333,0.492716643080054,3,3,5,2,"no",NA,NA,"2"
"f",1,5,5,3,TRUE,5,20,629.775,7.5,0.0344411456423065,4,2,4,5,"no",NA,NA,"3"
"f",1,7,5,4,FALSE,8,55,949.25,6.66666666666667,0.819594376950945,5,4,3,4,"yes",NA,NA,"."
"f",1,7,2,4,TRUE,10,20,650.608333333333,6.66666666666667,0.819354659453114,3,2,4,5,"no",NA,NA,"3"
"f",2,7,5,2,FALSE,9,28,937.825,8.33333333333333,0.91432700173658,4,3,3,5,"no",NA,NA,"3"
"f",1,7,5,4,FALSE,8,25,644.425,5,0.0525711494743492,4,2,2,4,"no",NA,NA,"3"
"f",2,12,4,5,TRUE,2,31,714.708333333333,1.66666666666667,0.193528630470289,3,2,5,5,"no",NA,NA,"3"
"f",1,7,5,3,FALSE,1,19,875.308333333333,6.66666666666667,0.454170624095383,3,2,4,5,"no",NA,NA,"3"
"f",1,5,5,3,FALSE,13,26,781.291666666667,1.66666666666667,0.573345721399533,3,1,4,4,"no",NA,NA,"3"
"f",2,7,5,4,FALSE,8,28,1197.31666666667,3.33333333333333,0.61754250515765,3,2,3,5,"no",NA,NA,"3"
"m",2,7,5,6,TRUE,12,33,1000.3,2.5,0.221527315792828,5,1,3,3,"no",NA,NA,"1"
"m",1,7,5,1,FALSE,2,22,950.791666666667,6.66666666666667,0.421444028846784,4,1,3,4,"no",NA,NA,"1"
"f",2,5,8,3,FALSE,11,37,810.025,1.66666666666667,0.446452818082236,5,5,5,2,"no",NA,NA,"1"
"m",2,5,5,3,FALSE,7,34,842.95,1.66666666666667,0.586258007729606,3,3,4,4,"no",NA,NA,"3"
"f",2,5,5,4,FALSE,4,23,693.116666666667,4.16666666666667,0.496942140597765,3,2,3,3,"no",NA,NA,"3"
"f",2,3,5,2,FALSE,NA,37,966.508333333333,2.5,0.455944927204104,3,3,3,5,"yes",NA,NA,"."
"f",1,4,5,3,FALSE,NA,20,760.325,9.16666666666667,-0.137583262557426,3,3,3,3,"no",NA,NA,"3"
"f",2,7,5,4,FALSE,10,24,743.491666666667,1.66666666666667,0.548083961408762,4,2,4,5,"no",NA,NA,"3"
"f",1,5,5,6,TRUE,NA,32,746.325,4.16666666666667,0.11092132261713,3,2,2,5,"yes",NA,NA,"."
"f",1,4,5,2,FALSE,6,20,809.266666666667,8.33333333333333,0.620730373591059,4,2,5,2,"no",NA,NA,"1"
"f",1,7,5,5,FALSE,10,19,711.166666666667,4.16666666666667,-0.378686888999429,4,2,3,3,"no",NA,NA,"3"
"f",1,7,5,3,FALSE,11,22,971.8,3.33333333333333,0.37804578964807,3,2,3,3,"no",NA,NA,"3"
"f",1,7,5,4,FALSE,10,22,827.708333333333,10,0.398086967375498,3,2,5,5,"no",NA,NA,"3"
"f",1,9,5,5,FALSE,6,24,874.416666666667,7.5,0.449015318219335,3,1,1,5,"no",NA,NA,"1"
"f",1,9,6,5,TRUE,13,34,745.6,9.16666666666667,-0.111963966299528,4,2,4,5,"no",NA,NA,"1"
"f",1,7,5,6,FALSE,1,18,785.141666666667,6.66666666666667,-0.797784860258868,3,3,4,4,"no",NA,NA,"1"
"m",2,9,5,NA,TRUE,11,27,937.783333333333,0.833333333333333,1.02610884540869,4,3,3,5,"no",NA,NA,"3"
"f",2,5,3,5,TRUE,11,21,753.425,4.16666666666667,0.372006185192935,3,2,3,5,"no",NA,NA,"3"
"f",1,7,5,4,FALSE,6,34,813.866666666667,0.833333333333333,0.265565785460937,3,2,5,3,"no",NA,NA,"1"
"f",1,7,5,4,FALSE,13,22,1316.825,7.5,0.806976025152198,4,2,3,5,"no",NA,NA,"1"
"m",2,7,5,6,FALSE,8,29,619.825,7.5,0.306934055120549,3,2,2,4,"no",NA,NA,"3"
"f",2,7,5,6,TRUE,12,22,550.433333333333,5,-0.0297550389379344,3,2,3,3,"no",NA,NA,"2"
"m",1,4,5,2,FALSE,2,23,888.116666666667,0,0.60961125777214,3,3,4,5,"no",NA,NA,"3"
"m",2,14,5,3,TRUE,2,35,692.008333333333,6.66666666666667,0.438008260774616,3,2,3,4,"no",NA,NA,"3"
"f",1,4,5,NA,FALSE,NA,26,692.933333333333,5.83333333333333,-0.0235287490117132,4,2,3,4,"no",NA,NA,"1"
"f",1,9,2,5,TRUE,2,23,982.083333333333,5,0.373771129547998,2,2,4,4,"no",NA,NA,"3"
"f",2,7,6,3,TRUE,NA,19,684.7,5.83333333333333,0.258431384706279,2,1,4,4,"no",NA,NA,"1"
"m",1,7,4,6,TRUE,12,28,714.966666666667,9.16666666666667,0.403646404685804,3,3,4,4,"no",NA,NA,"1"
"m",2,3,5,6,FALSE,NA,36,801.308333333333,3.33333333333333,0.555039007844047,3,2,1,3,"no",NA,NA,"2"
"f",1,7,5,3,TRUE,2,30,755.408333333333,8.33333333333333,0.96524122025667,3,2,5,4,"no",NA,NA,"3"
"f",2,7,5,5,FALSE,8,26,844.808333333333,8.33333333333333,0.863141148631946,3,2,4,4,"no",NA,NA,"3"
"f",2,7,5,5,FALSE,5,45,839,4.16666666666667,0.356724559315143,3,3,5,5,"yes",NA,NA,"."
"f",1,1,5,NA,TRUE,NA,34,1100.775,0.833333333333333,0.892089025313659,3,3,3,3,"no",NA,NA,"2"
"m",2,9,2,4,FALSE,6,20,895.058333333333,4.16666666666667,0.64004171421887,3,2,5,5,"no",NA,NA,"3"
"m",2,9,5,5,FALSE,4,24,873.266666666667,3.33333333333333,0.417395860304816,3,2,3,4,"no",NA,NA,"3"
"f",1,7,5,2,FALSE,2,49,689.366666666667,0.833333333333333,0.54568959016081,3,3,5,5,"no",NA,NA,"2"
